,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
10,Topicrem UH Body Milk 2 x 500ml,3700281702293,Topicrem,16.50,4.0, 293 ,Milk,2 products,In stock,"Topicrem UH Body Milk 2 x 500ml is an unctuous emulsion which moisturizes dry and sensitive skins for 24h.Enriched with moisturizing, protector and nourishing agents (urea 2%, glycerin 9.5%), this care penetrates instantly and eliminates all signs of dry skin.It is particulary suitable for dry, dehydrated skin (by cold, by sun...) as well as children's fragile skin. "
11,La Roche-Posay Effaclar Purifying Foaming Gel 2 x 400ml,3433425003245,La Roche-Posay,16.90,4.0, 103 ,Foaming gel,2 x 400ml,In stock,La Roche-Posay Effaclar Purifying Foaming Gel gently cleanses skin thanks to its high-tolerance-soap-free and dye-free washing base. It clears up the epidermis and associates Zinc and Glycacil to support the elimination of sebum excess.Paraben-free.
12,Eucerin UreaRepair PLUS Repair Foot Cream 10% Urea 100ml,4005800034428,Eucerin,6.10,4.0, 66 ,Cream,100ml,In stock,"Eucerin UreaRepair PLUS Repair Foot Cream 10% Urea 100ml is a care for dry feet, very dry, rough, cracked heels, callus and callosities. It can be used in complement of specific treatments (ex: dermatite atopic, psoriasis).It penetrates instantaneously thanks to its light and nonfatty texture (oil in water emulsion H/E).The skin finds elasticity and softness, it is protected from the formation of callus and callosities.Enriched with Urea and lactate. Without perfume. Without dye."
13,Filorga OPTIM-EYES Eye Contour 15ml,3401361057578,Filorga,34.50,4.0, 161 ,Cream,15ml,In stock,"Filorga OPTIM-EYES Eye Contour 15ml is a triple action eye contour care to reduce dark circles, puffiness and wrinkles in one gesture: - Dark circles: matrikines- chrysin complex favors the elimination of pigmented residues to reduce the coloration of dark circles,- Puffiness: powerful peptides act on micro-circulation to diminish volume of puffiness,- Wrinkles: a trio of smoothing actives based on hesperidin relaxes the eye contour.Result: a fresh look and visibly relaxed.Its moisturizing texture is fresh and fondant.Made in France."
14,Bioderma Sébium Hydra Moisturising Cream 40ml,3401348840421,Bioderma,9.99,4.0, 58 ,Cream,40ml,In stock,"Bioderma Sébium Hydra Moisturising Cream 40ml is a rebalancing care, which moisturises and soothes the problem-oily skins, temporarily dessicated and/or irritated by certain dermatological treatments.The moisturising, restructuring and soothing properties of this hydra-care compensate for the shedding phenomenon and fade the redness and tightening. Powerful soothing active ingredients and soothe the epidermis. Skin is clean, it finds comfort and radiance.Non comedogenic."
15,Bioderma Sébium Purifying Cleansing Foaming Gel 500ml,3401399277092,Bioderma,13.60,4.0, 68 ,Foaming gel,500ml,In stock,Bioderma Sébium Purifying Cleansing Foaming Gel 500ml is a foaming gel that gently cleanses and purifies combination and oily skin without drying out. It limits the secretion of sebum and cleanses the epidermis.  Its ultra-gentle soap-free formula respects skin balance. The patented natural complex D.A.F. increases skin tolerance threshold.This gel offers good skin and eye tolerance.Not comedogenic.Made in France. 
16,CeraVe Moisturising Lotion 1L,3337875598750,CeraVe,15.40,5.0, 14 ,Milk,1000ml,In stock,"CeraVe Moisturising Lotion 1L developed by dermatologists, is a moisturising lotion that nourishes and moisturises dry to very dry skin (face and body) without altering the protective barrier of the skin.Ideal for dry to very dry skin, this formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier, and hyaluronic acid.Without perfume, non comedogenic. Hypoallergenic."
17,Cerave Moisturising Cream With Pump 454g,3606000551954,Cerave,13.60,4.0, 14 ,Balm,454g,In stock,"Cerave Moisturising Cream With Pump 454g is a care that nourishes, moisturises and helps to restore the skin protective barrier. Developed with dermatologists, it is enriched with 3 essential ceramids and Hyaluronic Acid to moisturise the skin in continue during 48 hours from the first application. Soft for the skin, it is suitable for the sensitive skins. Its practical and quick pump provides the perfect dose in only one pressure. It is adapted to the whole family.Fragrance free. Non comedogenic. Hypoallergenic."
18,Bioderma Crealine TS H2O Cleansing Micelle Solution 2 x 500ml,3401325655390,Bioderma,16.30,4.0, 201 ,Solution,2 x 500ml,In stock,"Bioderma Crealine TS H2O Cleansing Micelle Solution 2 x 500ml is a care specially formulated for the very dry sensitive skins. This no-rinse solution guarantees a cleansing and make-up removal in gentleness of face and eyes (eliminates the waterproof make-up). The micelles contained in its formula allow an elimination of impurities while respecting cutaneous balance. Enriched in moisturising and filmogens actives, it fights against cutaneous dehydration. Soothing and decongestant actives prevent the irritation sensation, always linked to cleansing. Patented complex Dermatological Advanced Formulation increases the tolerance level of the most sensitive skins. In addition, if offers an excellent cutaneous and eye tolerance.Soap free. Paraben free. Physiological pH. Hypoallergenic. Tested under dermatological and ophtalmic control.Made in France. "
19,Nuxe Rêve de Miel Hand and Nail Cream 2 x 50ml,3264680010798,Nuxe,7.80,4.0, 39 ,Cream,2 x 50ml,In stock,"Nuxe Rêve de Miel Hand and Nail Cream 2 x 50ml is a cream that repairs, nourishes and protects the skin of dehydrated hands.Its silky texture with soft fragrance of honey envelops your hands of softness without oily effect.Its composition contains:Honey, nourishing, that takes care of your dehydrated hands,precious vegetable oils (avocado, sweet almond, Argan), replenishing, which prevent from cutaneous dryness,Vitamin E which prevents from premature skin ageing.90,6% of ingredients are of natural origin.Made in France. "
20,Bioderma Atoderm Ultra Nourishing Cream 500ml,3401399373466,Bioderma,12.70,4.0, 55 ,Cream,500 ml,In stock,"Bioderma Atoderm Ultra Nourishing Cream 500ml is a cream that repairs, soothes and protects the normal to dry sensitive skins.The Skin Protect complex associated to Glycerin allows to recreate a healthy cutaneous barrier and to deeply moisturize the skin. Inspired by the natural functioning of the skin, this care provides softness and suppleness from the first application.Its non oily and non sticky light texture leaves on the skin a sensation of comfort and freshness for a long duration.Fragrance-free, Paraben-free.Hypoallergenic. Tested under dermatological control.Made in France. "
21,CeraVe Moisturising Cream 50ml,3337875597371,CeraVe,3.20,5.0, 1 ,Balm,50ml,In stock,"CeraVe Moisturising Cream 50ml developed by dermatologists, is a moisturising cream that nourishes and moisturises dry to very dry skin (face and body) without altering the protective barrier of the skin.Ideal for dry to very dry skin, this formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier, and hyaluronic acid.Without perfume, non comedogenic. Hypoallergenic."
22,Bioderma Sébium Pore Refiner 30ml,3401361353625,Bioderma,14.20,4.0, 61 ,Cream,30ml,In stock,"Bioderma Sébium Pore Refiner 30ml is a correct concentrate pores dilated for the mixed skins with fatty.Sebum excess, stress, tobacco, pollution… These are many factors responsible for the dilation and the deformation of pores. Expert in cutaneous biology, Bioderma research innovates and creates Sébium Pore Refiner.This corrective concentrate improves the aspect of the skin: textures gets finer, more regular, clearer, the pores are tightened, less visible.The exclusive patented Fluidactiv complex maintains the quality of the sebum and thus prevents the obstruction of the pores. The antioxydant agents preserve the natural radiance of skin.The fluid and light formula of Sébium Pore Refiner melts instantaneously and leaves pleasant velvety finish."
23,CeraVe Eye Repair Cream 14ml,3337875597272,CeraVe,9.60,4.0, 11 ,Cream,14ml,In stock,"CeraVe Eye Repair Cream 14ml developed by dermatologists, is a repair cream for the eye contour.Its formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier and hyaluronic acid.The dark circles and puffiness are clearly less visible.Without perfume, non comedogenic."
24,Noreva Aquareva Repairing Hand Cream 24H 50ml,3401321229601,Noreva,2.02,5.0, 3 ,Cream,50ml,In stock,"Noreva Aquareva Repairing Hand Cream 24H 50ml  is a highly concentrated glycerin care that deeply moisturizes, protects and intensely repairs the skin. It makes it possible to form water reservoirs and promotes the supply of trace elements. Its unique texture pleasantly fragrant penetrates immediately while leaving a non-greasy protective film on the skin. The hands are intensely nourished, protected from external aggressions: they regain softness and flexibility.Tested under dermatological control.Paraben free. Phenoxyethanol free.Made in France. "
25,Eucerin UreaRepair PLUS Repair Hands Cream 5% Urea 75ml,4005800034329,Eucerin,5.20,4.0, 75 ,Cream,75ml,In stock,"Eucerin UreaRepair PLUS Repair Hands Cream 5% Urea 75ml is a daily care for the dry, very dry, damaged and irritated hands.It can be used in supplement of cutaneous treatments (atopic dermatitis). It protects the most damaged hands from climatic and chemical extrernal attacks, thanks to its protective film.It penetrates quickly thanks to its light texture."
26,Filorga Cleansing Foam 150ml,3401399693984,Filorga,15.99,4.0, 89 ,Solution,150ml,In stock,"Filorga Cleansing Foam gently cleanses and perfecly removes make-up.It contains hyaluronic acid, anti-ageing and moisturising active ingredient. Perfectly cleansed, your skin is ready to receive its cares."
27,Bioderma Atoderm PP Ultra-Nourishing Balm 500ml,3401340652619,Bioderma,18.20,4.0, 24 ,Balm,500ml,In stock,"Bioderma Atoderm PP Ultra-Nourishing Balm 500ml prevents severe skin dryness characterized by rough, scaly skin and tighness.Vitamin PP and nourishing agents biologically repair and strengthen the altered skin barrier by supplying essential lipids and stimulating their production. The patented Ecodéfensine complex maintains a healthy cutaneous flora thanks to its regulating action.From the first application, the Atoderm PP Balm durably calms cutaneous discomfort, for an optimal comfort.Its light and unctuous texture penetrates rapidly in the skin."
28,"Carmex Lip Balm Classic 11,6ml",3401351322617,Carmex,2.30,4.0, 31 ,Balm,"11,6ml",Limited quantity: 1,"Carmex Lip Balm Classic 11,6ml protects, alleviates, nourishes dry and cracked lips. It can also be used as a make-up basis and to fix lipsticks.Very practical, this balm in a small tube is easy to take everywhere!"
29,Bioderma Créaline Foaming Gel 100ml,3701129800836,Bioderma,4.50,4.0, 4 ,Gel,100ml,In stock,"Bioderma Créaline Foaming Gel 100ml gently cleanses, soothes and moisturizes sensitive skin.Thanks to its soothing and superfatting active ingredients, it quickly calms irritations. The DAF patented natural complex (dermatological advanced formulation) increases the tolerance threshold of the most sensitive skins. Its creamy foam leaves the skin soft and comfortable.Also used as make-up remover. Excellent cutaneous and ocular tolerance. Dermatologically and ophthalmologically tested.Without soap, perfume, paraben, hypoallergenic."
30,Bioderma Sébium H2O Purifying Cleansing Micelle Solution 2 x 500ml,3401325629209,Bioderma,17.99,4.0, 187 ,Solution,2 x 500ml,In stock,"Bioderma Sébium H2O Purifying Cleansing Micelle Solution 2 x 500ml is a micellar solution that cleanses and purifies the skin in gentleness without drying out.Micelles contained in this formula allow an elimination of impurities while respecting the cutaneous balance. Enriched in purifying actives, it limits the secretion of sebium and sanitises the epidermis. Its patented natural complex Dermatological Advanced Formulation increase the tolerance level of the skin.Soap free. Paraben free.Physiological pH. Non comedogenic. Hypoallergenic.Made in France."
31,Uriage Xémose Lipid Replenishing Anti-Irritation Cream 400ml,3661434004858,Uriage,12.08,4.0, 12 ,Cream,400ml,In stock,"Uriage Xémose Lipid Replenishing Anti-Irritation Cream 400ml is a cream that allows to nourish, soothe and protect the very dry skin with atopic tendency.This cream allows to nourish and soothe the sensations of itching and tautness and offers a durable comfort to your skin. Its melting texture is applies easily and do not leave any sticky effect on the skin. It penetrates rapidly on the skin for an immediate effectiveness. This cream could be applied on face and body also. It is suitable for babies, children and adults. Ideal for the whole family.Formulated with fragrance free. Hypoallergenic."
32,Bioderma Sébium Purifying Cleansing Foaming Gel 200ml,3401578653709,Bioderma,6.30,4.0, 69 ,Foaming gel,200ml,In stock,Bioderma Sébium Purifying Cleansing Foaming Gel 200ml is a foaming gel that gently cleanses and purifies combination and oily skin without drying out.It limits the secretion of sebum and cleanses the epidermis. Its ultra-gentle soap-free formula respects the skin's balance. The patented natural D.A.F. ? complex increases the skin's tolerance threshold.This gel offers good skin and eye tolerance.Hypoallergenic. Non-comedogenic.Paraben free.Made in France. 
33,Laboratoire ACM Dépiwhite Whitening Body Milk 200ml,3760095250267,Laboratoire,9.99,2.0, 4 ,Milk,200ml,In stock,"Laboratoire ACM Dépiwhite Whitening Body Milk 200ml is a body milk that moisturizes the dry skins and lightens the complexion.Rich in moisturizing actives and in whitening vegetable actives, it has been developed to moisturize the skin, lighten and blend the complexion.Made in France."
34,Laboratoire ACM Dépiwhite Advanced Intensive Anti-Brown Spot Cream 40ml,3760095250441,Laboratoire,19.10,4.0, 8 ,Cream,40ml,In stock,"Laboratoire ACM Dépiwhite Advanced Intensive Anti-Brown Spot Cream 40ml is a cream developed to promote the disappearance of brown spots type pregnancy mask and aging, in the face, neckline, hands.Thanks to its association of specific active ingredients, Dépiwhite Advanced reduces or eliminates the brown spots, limits their reappearance and evens the color of the complexion by regulating the production of melanin, responsible for the spots, by 3 synergistic actions:- Slowing down of melanin production- Elimination of existing epidermal melanin- Stimulation of the biodegradation of melaninMade in France."
35,Mavala Double-Lashes 10ml,7618900931015,Mavala,12.90,4.0, 42 ,Solution,10ml,In stock,"Mavala Double-Lashes 10ml is a nutritive care that contains a natural extract rich in vitamins and proteins. It revitalizes the growth process for a better density of lashes and brows and prevents their fall. The eyelashes become natural, fuller, thicker, longer, more resistant !Paraben-free.Ophtalmologically tested"
72,Eucerin DermoPure Scrub 100ml,4005800192920,Eucerin,9.99,0.0,0,Cream,100ml,In stock,"Eucerin DermoPure Scrub 100ml is an ideal scrub for skin with imperfections, which helps to unclog pores and refine the skin texture.Its formula with lactic acid and micro-particles unclogs pores and helps fight blackheads and imperfections and refines the skin texture.Non-comedogenic, comedolytic action. Dermatologically tested."
73,Eucerin DermoPure Cleansing Gel 400ml,4005800192883,Eucerin,12.10,0.0,0,Gel,400ml,In stock,"Eucerin DermoPure Cleansing Gel 400ml is a cleansing gel that effectively and gently removes impurities, make-up and excess sebum.Its soap-free formula contains 6% of amphoteric surfactants.The skin of the face is clean, fresh and supple, ready for the next care.Non-comedogenic. Good skin tolerance. Suitable for skin prone to imperfections and sensitive skin."
74,Bioderma Hydrabio Moisturising Toning Lotion 250ml,3401399694356,Bioderma,12.70,0.0,0,Lotion,250ml,In stock,"Bioderma Hydrabio Moisturising Toning Lotion 250ml with light texture, for face and eyes, tones and awakens the radiance of dehydrated sensitive skins.First cleansing and moisturizing lotion with Aquagenium, it helps the skin to biologically recover its natural capacity of hydration and keep water essential to its balance. The DAF complex increases the tolerance barrier of the epidermis.It brings an immediate sensation of freshness and well-being. The skin is clean, radiant and fresh.Excellent cutaneous and ocular tolerance. No rinse, paraben-free, hypoallergenic."
75,Filorga TIME-FILLER EYES 15ml,3401597522796,Filorga,40.90,0.0,0,Cream,15ml,In stock,"Filorga TIME-FILLER EYES 15ml is an absolute eyes cream. It offers three complementary anti-aging actions:On the wrinkles: a trio of actives (hyaluronic acid, tripeptide, gentle peeling effect active) to clear lines and smooth out wrinkles around the eye,on the eyelids and eyelashes: a lifting complex to fight against release of upper eyelids and a stimulating matrikine to densify the eyelashes,on the dark circles: filling spheres and stimulant complex to reduce all types of dark circles: hollow and colored.Day after day, wrinkles are smoothed, the lid is tightened, dark circles fade. The eye opens. It offers a velvety cream texture.Made in France. "
76,Eucerin UreaRepair PLUS Emollient 10% Urea 400ml,4005800024245,Eucerin,19.99,0.0,0,Milk,400 ml,In stock,"Eucerin UreaRepair PLUS Emollient 10% Urea 400ml is a body lotion with a rich texture, suitable for very dry, squamous and irritated skins.- It limits the insensitive losses of water- It reinforces the lipid barrier- It re-establishes the natural hydration synthesis of skin.This care effectively soothes the signs of dry skin.Fragrance free, and no colouring, it offers an excellent cutaneous tolerance, even on atopic skins, suffering from xerose or on diabetic skin. Skin is smooth and supple again. Dryness, roughness and itching are soothed."
77,Filorga C-RECOVER Anti-Fatigue Radiance Concentrate 3 Vials of 10ml,3401340879207,Filorga,45.50,0.0,0,Concentrate,3 phials of 10ml,In stock,"Filorga C-RECOVER Anti-Fatigue Radiance Concentrate 3 Vials of 10ml with pure fresh and ultra-concentrated vitamin C (8%) was specially created for a radiant and visibly younger skin. Vitamin C brings anti-oxidant properties and boosts the collagen production and brings radiance. Polysaccharids present in the formula are ultra-moisturizing and allow to revitalize the skin, allowing to strengthen the anti-aging action too.Thanks to this concentrate, tiredness is reduced and complexion becomes more radiant. After 3 weeks of use in the morning: 80% of skin are more luminous*, 81% of skin are less tired, 81% of skin are revitalized*.* Self-evalutation on 59 subjects between 35 and 65 years old with everyday application during 3 weeks."
78,Galderma Cetaphil Cleansing Lotion 460ml,3401344340666,Galderma,12.30,0.0,0,Lotion,460ml,In stock,"Galderma Cetaphil Cleansing Lotion 460ml is an original lipid-free and soap-free formula, for the gentle cleansing of the sensitive, fragile and easily irritated skins:- Sensitive skins, intolerant to the classical hygien products (soap, bar, milks...)- Fragilised skins by drying or irritative cutaneous treatments- Acne, eczema, atopic skins, ichtiosic skins.With softening and emollient properties, Cetaphil leaves skin soft and supple. "
79,La Roche-Posay Effaclar Duo (+) Unifiant 40ml,3337875518598,La Roche-Posay,11.80,0.0,0,Cream,40ml,In stock,"La Roche-Posay Effaclar Duo (+) Unifiant 40ml is a tinted care anti-imperfections for oily skins prone to acne.This tinted care unclogs the pores, corrects the imperfections while matifying and unifying your skin. It attenuates the imperfections and the red marks in order to unify instantly your face.After some days of use, the imperfections are reduced, and after some weeks, the pores are unclog, the skin texture is refined, the brightness are controlled.Formulated with Paraben free."
80,Bioderma Hydrabio Moisturising Mask 75ml,3401343613730,Bioderma,15.40,0.0,0,Cream,75ml,In stock,"Bioderma Hydrabio Moisturising Mask 75ml is the first moisturising soft mask with Aquagenium.This complex teaches the skin again to biologically revive its natural hydration capacities and to retain its balance.This patented organic complex make skin able to create in-depth the necessary level of water for optimal hydration, and to retain it at the surface of skin.DAF patented natural complex increases tolerance threshold of the skin. Durably moisturised, it gains comfort, suppleness and radiance.Hypoallergenic. Non-comedogenic.Made in France. "
81,CeraVe Facial Moisturising Lotion 52ml,3337875597449,CeraVe,10.90,0.0,0,Cream,52ml,In stock,"CeraVe Facial Moisturising Lotion 52ml developed by dermatologists, is a moisturising cream for the face, for normal to dry skins.Ideal for normal to dry skin, its formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier, niacinamide and hyaluronic acid.Without perfume, non comedogenic."
82,Eucerin Hyaluron-Filler Vitamin C Booster 3 x 8ml,4005800227479,Eucerin,36.40,0.0,0,Serum,3 bottles x 8ml,In stock,"Eucerin Hyaluron-Filler Vitamin C Booster 3 x 8ml is a care that strengthens the skin and fills wrinkles.After 7 days, the skin is smoother and the complexion is fresh.The innovation relies on the composition :- 10% of pure Vitamin C, effective antioxidant which stimulates collagen production of the skin cells,- Hyaluronic acid of low molecular weight that penetrates in the epidermis layers of the skin where the wrinkles are formed,- Licochalcone A, another powerful antioxidant that improves as well the cellular antioxidant defense of the skin.It contains Ascorbic acid which can increase the skin sensitivity to the sun and particularly the possibility of sunburn. Sunscreen should be used during the cure and one week after the last use.The 3 bottles allow a cure of 21 days.Tested under dermatological control. "
83,Avène Cold Cream Concentrated Hand Cream 2 x 50ml,3282770100266,Avène,7.90,0.0,0,Cream,2 x 50ml,In stock,"Avène Cold Cream Concentrated Hand Cream 50ml is a cream formulated based of cold cream, ideal for the moisturizing of the dry and damaged hands.This cream is enriched in Cold Cream, which provides high nutritive properties, and provides a lasting comfort to your hands. It contains also Sucralfate which supports the repair of the epidermis and Avene Thermal Spring Water associated to the Alpha Bisabosol that intensely comforting the weakened hands.Its unctuous and rich texture is easy to apply and leaves on your hands a soft finish and a light fragrance. Non-greasy, non-sticky."
84,Bioderma Créaline H2O Cleansing Micellar Water 100ml,3401395376874,Bioderma,3.60,0.0,0,Water,100ml,In stock,"Bioderma Créaline H2O Cleansing Micellar Water 100ml is a micellar water specially formulated for the sensitive skins, It guarantees a mild cleansing of face and eyes. The micelles contained in its formula allow a perfect micro-emulsion of the stains while respecting the cutaneous balance.Soothing and decongestant active ingredients prevent from sensations of irritation, often linked to cleansing.The dermo-patented complex D.A.F. (Dermatological Advanced Formulation) increases the tolerance of the most sensitive skin. Very good skin and eye tolerance.The skin is cleansed and soothed.Tested under dermatological and ophthalmic control.Not scented.Made in France. "
85,Filorga NUTRI-FILLER Lips 4g,3401360120075,Filorga,19.10,0.0,0,Balm,4g,In stock,"Filorga NUTRI-FILLER Lips 4g is an ultra-nourishing balm-oil which allow to comfort and plump the dry lips and give them natural brightness.This care is both nutritive and restorative thanks to its duo of oils of high nutrition and to restorative shea butter which nourishes, restores and protects the damaged lips.It is also replumping and smoothing: a peptide booster of collagen that smoothes the lips while giving them a natural replump and by drawing their contour.Nutri-Filler Lips contains NCTF, a cocktail of revitalizing actives which is associated to an active revealing of shine that revives instantaneously the natural color of your lips.The results are visible, day after day, your lips find their comfort and natural shine. They are more smoother, softer and replumped. "
86,Filorga OXYGEN-GLOW 50ml,3540550009032,Filorga,31.80,0.0,0,Cream,50ml,In stock,"Filorga OXYGEN-GLOW 50ml is a super-perfecting radiance cream recommended to smooth, even, plump, detoxify the skin.This cream is ideal for dull complexion, irregular skin texture, dehydrated skin, fine lines and lack of uniformity, to remove defects in real time and boost the radiance instantly for a beautiful natural skin.Its formula contains the Super-Skin Boosting Factors complex that combines an oxygenation booster, plumping and smoothing hyaluronic acid and detoxifying L-enzyme to reveal a zero defect skin day after day. Its formula offers enhanced unifying action thanks to a color-control peptide.Result: the radiance is immediate. The illuminating hydra texture incorporating the Photoperfector HD technology offers an instant sublimated skin effect.All skin types. Non-comedogenic. "
87,Eucerin Aquaporin Active Moisturising Care for Normal to Combination Skin 50ml,4005800127786,Eucerin,16.90,0.0,0,Cream,50ml,In stock,"Eucerin Aquaporin Active Moisturising Care for Normal to Combination Skin 50ml is suitable for sensitive dehydrated skin, normal to combination skin, subjected to tugging sensation.The innovative formula of this care with a gluco-glycerol basis, a natural active ingredient, enhances the activation of natural networks of hydration, the aquaporines. They stimulate the circulation of molecules of water through the cells and restore the inside of the natural balance of hydration of the skin.Results: the skin is moisturised during 24 hours, it is soft and supple. Sensations of tugging are less intense.Fragrance-free. Paraben-free. Non comedogenic. Excellent make-up basis."
88,La Roche-Posay Cicaplast Barrier Repairing Cream 100ml,3337875766326,La Roche-Posay,8.70,0.0,0,Cream,100ml,In stock,"La Roche-Posay Cicaplast Barrier Repairing Cream 100ml is a cream without fragrance for damaged hands, over-requested.It is used in domestic and professional use for immediate comfort. Its tolerance has been tested on sensitive skin with atopic tendency.Made in France. "
89,La Roche-Posay Lipikar AP+ M Replenishing Balm 2 x 400ml,3433425324401,La Roche-Posay,34.50,0.0,0,Balm,2 x 400ml,In stock,"La Roche-Posay Lipikar AP+ M Replenishing Balm 2 x 400ml is a care with triple action: anti-scratching, anti-relapse and immediate soothing for the atopic tendency skins, for the whole family (babies, children, adults).It allows to space the severe dryness crisis for anti-relapse efficacy. The skin is comfortable for the day. This balm is of fast absorption to facilitate the application."
